	Gene ID	Uniq_Name	KH2013	KYname	KHname	Description	name	ENSMUSG	ENSMUST	annotation_1	annotation_2	loc	SNR	variance	denoised_SNR	denoised_variance	gene_network_leiden	gene_network_n	leiden	gene_clusters_leiden
Sod2-KY.Chr12.794	KY2019:KY.Chr12.794	Sod2-KY.Chr12.794	KH.C12.466	SOD2	SOD2	17:13007817:13020134:1 ENSMUSG00000006818.5 ENSMUST00000007012.5 protein_coding protein_coding Sod2 superoxide dismutase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:98352]	Sod2	ENSMUSG00000006818.5	ENSMUST00000007012.5	protein_coding	protein_coding	17:13007817:13020134:1	0.6018145098854495	0.7779684	0.46766702953875317	1.1021354	5	31	1	9
Erap1-KY.Chr12.799	KY2019:KY.Chr12.799	Erap1-KY.Chr12.799	KH.C12.643	ERAP2	ERAP1/2	13:74639568:74693201:1 ENSMUSG00000021583.7 ENSMUST00000169114.2 protein_coding protein_coding Erap1 endoplasmic reticulum aminopeptidase 1 [Source:MGI Symbol;Acc:MGI:1933403]	Erap1	ENSMUSG00000021583.7	ENSMUST00000169114.2	protein_coding	protein_coding	13:74639568:74693201:1	0.4326479985379525	0.7470621	0.31038447917408263	0.84031314	2	19	4	7
Igf2bp1-KY.Chr12.800	KY2019:KY.Chr12.800	Igf2bp1-KY.Chr12.800	KH.C12.441	IGF2BP1	IGF2BP1/2/3	11:95957163:96005940:-1 ENSMUSG00000013415.9 ENSMUST00000013559.2 protein_coding protein_coding Igf2bp1 insulin-like growth factor 2 mRNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1890357]	Igf2bp1	ENSMUSG00000013415.9	ENSMUST00000013559.2	protein_coding	protein_coding	11:95957163:96005940:-1	1.0926240986098636	1.5756569	0.9762251077662151	1.4049778	5	9	1	10
Ergic3-KY.Chr12.801	KY2019:KY.Chr12.801	Ergic3-KY.Chr12.801	KH.C12.299	ERGIC3	ERGIC3	2:156008045:156018279:1 ENSMUSG00000005881.13 ENSMUST00000006035.12 protein_coding protein_coding Ergic3 ERGIC and golgi 3 [Source:MGI Symbol;Acc:MGI:1913616]	Ergic3	ENSMUSG00000005881.13	ENSMUST00000006035.12	protein_coding	protein_coding	2:156008045:156018279:1	0.8494862632347981	1.4375703	0.6544206410457682	1.3261789	1	20	2	0
KY2019:KY.Chr12.802	KY2019:KY.Chr12.802	KY2019:KY.Chr12.802	KH.C12.630	IGLV8-61	KH2013:KH.C12.630	nan	nan	nan	nan	nan	nan	nan	0.45136245539546294	0.5434379	0.33893346348197323	0.9036053	2	54	4	2
Scaf8-KY.Chr12.803	KY2019:KY.Chr12.803	Scaf8-KY.Chr12.803	KH.C12.35	SCAF8	SCAF4/8	17:3114979:3198859:1 ENSMUSG00000046201.9 ENSMUST00000076734.7 protein_coding protein_coding Scaf8 SR-related CTD-associated factor 8 [Source:MGI Symbol;Acc:MGI:1925212]	Scaf8	ENSMUSG00000046201.9	ENSMUST00000076734.7	protein_coding	protein_coding	17:3114979:3198859:1	0.8064222836957174	1.5230649	0.6424718932556417	1.3068849	3	9	3	11
Xiap-KY.Chr12.804	KY2019:KY.Chr12.804	Xiap-KY.Chr12.804	KH.C12.459	XIAP	KH2013:KH.C12.459_XIAP	X:42093728:42109656:1 ENSMUSG00000025860.15 ENSMUST00000026978.6 protein_coding protein_coding Xiap X-linked inhibitor of apoptosis [Source:MGI Symbol;Acc:MGI:107572]	Xiap	ENSMUSG00000025860.15	ENSMUST00000026978.6	protein_coding	protein_coding	X:42093728:42109656:1	0.2523293950255638	0.25221917	0.1778204969590521	0.34204715	0	18	0	1
Nup43-KY.Chr12.805	KY2019:KY.Chr12.805	Nup43-KY.Chr12.805	KH.C12.291	CHST10	KH2013:KH.C12.291	CHR_MG4138_PATCH:7593267:7604645:1 ENSMUSG00000116037.1 ENSMUST00000229979.1 protein_coding protein_coding Nup43 nucleoporin 43 [Source:MGI Symbol;Acc:MGI:1917162]	Nup43	ENSMUSG00000116037.1	ENSMUST00000229979.1	protein_coding	protein_coding	CHR_MG4138_PATCH:7593267:7604645:1	0.3143071232868018	0.49560747	0.23551640802720275	0.59336495	2	22	4	2
Smg8-KY.Chr12.806	KY2019:KY.Chr12.806	Smg8-KY.Chr12.806	KH.C12.564	SMG8	SMG8	11:87077732:87086774:-1 ENSMUSG00000020495.13 ENSMUST00000020801.13 protein_coding protein_coding Smg8 smg-8 homolog, nonsense mediated mRNA decay factor (C. elegans) [Source:MGI Symbol;Acc:MGI:1921383]	Smg8	ENSMUSG00000020495.13	ENSMUST00000020801.13	protein_coding	protein_coding	11:87077732:87086774:-1	0.24231534928036255	0.25750104	0.18816635342787513	0.35561	5	14	1	10
Mrpl17-KY.Chr12.807	KY2019:KY.Chr12.807	Mrpl17-KY.Chr12.807	KH.C12.593	MRPL17	MRPL17/8	7:105803206:105811099:-1 ENSMUSG00000030879.10 ENSMUST00000124482.2 protein_coding protein_coding Mrpl17 mitochondrial ribosomal protein L17 [Source:MGI Symbol;Acc:MGI:1351608]	Mrpl17	ENSMUSG00000030879.10	ENSMUST00000124482.2	protein_coding	protein_coding	7:105803206:105811099:-1	0.4099233566876716	0.60379404	0.31964113464526633	0.8174991	4	28	3	7
KY2019:KY.Chr12.808	KY2019:KY.Chr12.808	KY2019:KY.Chr12.808	KH.C12.480	WBP1L	KH2013:KH.C12.480	nan	nan	nan	nan	nan	nan	nan	0.3157759598984742	0.45252958	0.18314646331770093	0.41396555	1	30	6	0
Tfam-KY.Chr12.809	KY2019:KY.Chr12.809	Tfam-KY.Chr12.809	KH.C12.457	TFAM	TFAM	10:71228457:71238280:-1 ENSMUSG00000003923.14 ENSMUST00000105432.9 protein_coding protein_coding Tfam transcription factor A, mitochondrial [Source:MGI Symbol;Acc:MGI:107810]	Tfam	ENSMUSG00000003923.14	ENSMUST00000105432.9	protein_coding	protein_coding	10:71228457:71238280:-1	0.8015047528730771	1.130655	0.5767968386419632	1.3967954	0	13	2	0
Eif4e-KY.Chr12.810	KY2019:KY.Chr12.810	Eif4e-KY.Chr12.810	KH.C12.143	EIF4E	EIF4E-3/4/5	3:138526179:138559696:1 ENSMUSG00000028156.12 ENSMUST00000029803.11 protein_coding protein_coding Eif4e eukaryotic translation initiation factor 4E [Source:MGI Symbol;Acc:MGI:95305]	Eif4e	ENSMUSG00000028156.12	ENSMUST00000029803.11	protein_coding	protein_coding	3:138526179:138559696:1	0.721598989512539	1.3621264	0.5462026301838748	1.3199857	3	57	5	11
Erlin2-KY.Chr12.812	KY2019:KY.Chr12.812	Erlin2-KY.Chr12.812	KH.C12.460	ERLIN2	ERLIN1/2	8:27023799:27040328:1 ENSMUSG00000031483.8 ENSMUST00000033873.8 protein_coding protein_coding Erlin2 ER lipid raft associated 2 [Source:MGI Symbol;Acc:MGI:2387215]	Erlin2	ENSMUSG00000031483.8	ENSMUST00000033873.8	protein_coding	protein_coding	8:27023799:27040328:1	0.5613189917437283	1.1901164	0.4014925061036926	1.0480886	4	20	3	3
Lsm5-KY.Chr12.815	KY2019:KY.Chr12.815	Lsm5-KY.Chr12.815	KH.C12.281	LSM5	LSM5	6:56701063:56704692:-1 ENSMUSG00000091625.8 ENSMUST00000170382.4 protein_coding protein_coding Lsm5 LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:MGI Symbol;Acc:MGI:1913623]	Lsm5	ENSMUSG00000091625.8	ENSMUST00000170382.4	protein_coding	protein_coding	6:56701063:56704692:-1	0.8606156421165078	1.2268701	0.6761058566949251	1.245105	0	17	0	1
Chmp1b-KY.Chr12.826	KY2019:KY.Chr12.826	Chmp1b-KY.Chr12.826	KH.C12.448	CHMP1B	KH2013:KH.C12.448_CHMP1A	18:67205366:67207889:1 ENSMUSG00000109901.2 ENSMUST00000210564.2 protein_coding protein_coding Chmp1b charged multivesicular body protein 1B [Source:MGI Symbol;Acc:MGI:1914314]	Chmp1b	ENSMUSG00000109901.2	ENSMUST00000210564.2	protein_coding	protein_coding	18:67205366:67207889:1	0.5616443216218643	1.1872624	0.44007827573644465	1.1229572	2	7	8	2
Sh3kbp1-KY.Chr12.827	KY2019:KY.Chr12.827	Sh3kbp1-KY.Chr12.827	KH.C12.119	SH3KBP1	SH3KBP1	X:159708601:159973865:1 ENSMUSG00000040990.17 ENSMUST00000141354.7 protein_coding nonsense_mediated_decay Sh3kbp1 SH3-domain kinase binding protein 1 [Source:MGI Symbol;Acc:MGI:1889583]	Sh3kbp1	ENSMUSG00000040990.17	ENSMUST00000141354.7	protein_coding	nonsense_mediated_decay	X:159708601:159973865:1	0.6648248668122697	1.4654491	0.4797410653699338	1.2080221	0	33	2	0
Btaf1-KY.Chr12.831	KY2019:KY.Chr12.831	Btaf1-KY.Chr12.831	KH.C12.468	BTAF1	BTAF1	19:36926079:37012752:1 ENSMUSG00000040565.8 ENSMUST00000099494.3 protein_coding protein_coding Btaf1 B-TFIID TATA-box binding protein associated factor 1 [Source:MGI Symbol;Acc:MGI:2147538]	Btaf1	ENSMUSG00000040565.8	ENSMUST00000099494.3	protein_coding	protein_coding	19:36926079:37012752:1	0.6328731812136293	1.0803832	0.49936813875134495	1.3111895	3	36	5	11
Cchcr1-KY.Chr12.834	KY2019:KY.Chr12.834	Cchcr1-KY.Chr12.834	KH.C12.672	CCHCR1	CCHCR1	17:35517463:35531005:1 ENSMUSG00000040312.14 ENSMUST00000173903.1 protein_coding protein_coding Cchcr1 coiled-coil alpha-helical rod protein 1 [Source:MGI Symbol;Acc:MGI:2385321]	Cchcr1	ENSMUSG00000040312.14	ENSMUST00000173903.1	protein_coding	protein_coding	17:35517463:35531005:1	0.444169401676395	0.6436271	0.3036596634954217	0.811651	0	18	6	4
Polg-KY.Chr12.835	KY2019:KY.Chr12.835	Polg-KY.Chr12.835	KH.C12.240	POLG	POLG	7:79446231:79466362:-1 ENSMUSG00000039176.17 ENSMUST00000073889.13 protein_coding protein_coding Polg polymerase (DNA directed), gamma [Source:MGI Symbol;Acc:MGI:1196389]	Polg	ENSMUSG00000039176.17	ENSMUST00000073889.13	protein_coding	protein_coding	7:79446231:79466362:-1	0.2451614622376976	0.1714836	0.17661178071058695	0.2915978	1	28	5	6
Dapp1-KY.Chr12.839	KY2019:KY.Chr12.839	Dapp1-KY.Chr12.839	KH.C12.439	DAPP1	KH2013:KH.C12.439_DAPP1	3:137931007:137981545:-1 ENSMUSG00000028159.14 ENSMUST00000029806.12 protein_coding protein_coding Dapp1 dual adaptor for phosphotyrosine and 3-phosphoinositides 1 [Source:MGI Symbol;Acc:MGI:1347063]	Dapp1	ENSMUSG00000028159.14	ENSMUST00000029806.12	protein_coding	protein_coding	3:137931007:137981545:-1	0.7543197554272806	1.4664673	0.37671108104127055	1.0998733	4	29	3	3
Zc3h12b-KY.Chr12.841	KY2019:KY.Chr12.841	Zc3h12b-KY.Chr12.841	KH.C12.18	ZC3H12B	ZC3H12B	X:95899033:95928230:1 ENSMUSG00000035045.17 ENSMUST00000082183.7 protein_coding protein_coding Zc3h12b zinc finger CCCH-type containing 12B [Source:MGI Symbol;Acc:MGI:2442133]	Zc3h12b	ENSMUSG00000035045.17	ENSMUST00000082183.7	protein_coding	protein_coding	X:95899033:95928230:1	0.2718933564195411	0.33431077	0.14409710667782147	0.2642774	1	8	0	1
Fzd10-KY.Chr12.842	KY2019:KY.Chr12.842	Fzd10-KY.Chr12.842	KH.C12.511	FZD10	FZD10/9	5:128600844:128604093:1 ENSMUSG00000081683.5 ENSMUST00000117102.3 protein_coding protein_coding Fzd10 frizzled class receptor 10 [Source:MGI Symbol;Acc:MGI:2136761]	Fzd10	ENSMUSG00000081683.5	ENSMUST00000117102.3	protein_coding	protein_coding	5:128600844:128604093:1	0.5419341752585162	0.7148526	0.44526774934375407	0.93465704	2	6	4	2
4931406C07Rik-KY.Chr12.843	KY2019:KY.Chr12.843	4931406C07Rik-KY.Chr12.843	KH.C12.415	C11orf54	C11ORF54	9:15283339:15306167:-1 ENSMUSG00000031938.15 ENSMUST00000178977.8 protein_coding protein_coding 4931406C07Rik RIKEN cDNA 4931406C07 gene [Source:MGI Symbol;Acc:MGI:1918234]	4931406C07Rik	ENSMUSG00000031938.15	ENSMUST00000178977.8	protein_coding	protein_coding	9:15283339:15306167:-1	0.36285869424605327	0.58628476	0.21313044272763282	0.6003711	1	50	2	0
Nbn-KY.Chr12.844	KY2019:KY.Chr12.844	Nbn-KY.Chr12.844	KH.C12.578	NBN	NBN	4:15957967:15981554:1 ENSMUSG00000028224.14 ENSMUST00000149069.1 protein_coding protein_coding Nbn nibrin [Source:MGI Symbol;Acc:MGI:1351625]	Nbn	ENSMUSG00000028224.14	ENSMUST00000149069.1	protein_coding	protein_coding	4:15957967:15981554:1	0.5999445213768001	0.72461325	0.4774741219777551	1.0996311	4	28	3	5
KY2019:KY.Chr12.845	KY2019:KY.Chr12.845	KY2019:KY.Chr12.845	KH.C12.447	SREBF2	KH2013:KH.C12.447	nan	nan	nan	nan	nan	nan	nan	0.20230830094470803	0.2862559	0.13315309881018172	0.26259276	2	42	5	7
Drg2-KY.Chr12.846	KY2019:KY.Chr12.846	Drg2-KY.Chr12.846	KH.C12.245	DRG2	DRG2	11:60454591:60468754:1 ENSMUSG00000020537.9 ENSMUST00000018568.3 protein_coding protein_coding Drg2 developmentally regulated GTP binding protein 2 [Source:MGI Symbol;Acc:MGI:1342307]	Drg2	ENSMUSG00000020537.9	ENSMUST00000018568.3	protein_coding	protein_coding	11:60454591:60468754:1	0.3310075127291306	0.6188471	0.27224776622037544	0.65714544	4	22	3	11
KY2019:KY.Chr12.847	KY2019:KY.Chr12.847	KY2019:KY.Chr12.847	KH.C12.221	SYNJ1	KH2013:KH.C12.221	nan	nan	nan	nan	nan	nan	nan	0.7460388144047979	1.1812336	0.5906121458387144	1.1793722	0	12	6	4
Chid1-KY.Chr12.848	KY2019:KY.Chr12.848	Chid1-KY.Chr12.848	KH.C12.319	CHID1	CHID1	7:141493136:141539816:-1 ENSMUSG00000025512.15 ENSMUST00000153191.7 protein_coding protein_coding Chid1 chitinase domain containing 1 [Source:MGI Symbol;Acc:MGI:1915288]	Chid1	ENSMUSG00000025512.15	ENSMUST00000153191.7	protein_coding	protein_coding	7:141493136:141539816:-1	0.43753029129852855	0.5740269	0.337213692429999	0.573969	0	20	0	1
Pcna-KY.Chr12.849	KY2019:KY.Chr12.849	Pcna-KY.Chr12.849	KH.C12.443	PCNA	PCNA	2:132249162:132253314:-1 ENSMUSG00000027342.14 ENSMUST00000028817.6 protein_coding protein_coding Pcna proliferating cell nuclear antigen [Source:MGI Symbol;Acc:MGI:97503]	Pcna	ENSMUSG00000027342.14	ENSMUST00000028817.6	protein_coding	protein_coding	2:132249162:132253314:-1	0.5593428887949878	0.7029843	0.44529468349544266	1.1415766	2	8	4	2
Ttll2-KY.Chr12.853	KY2019:KY.Chr12.853	Ttll2-KY.Chr12.853	KH.C12.488	TTLL2	TTLL2	17:7350885:7352696:-1 ENSMUSG00000079722.2 ENSMUST00000115747.2 protein_coding protein_coding Ttll2 tubulin tyrosine ligase-like family, member 2 [Source:MGI Symbol;Acc:MGI:3644030]	Ttll2	ENSMUSG00000079722.2	ENSMUST00000115747.2	protein_coding	protein_coding	17:7350885:7352696:-1	0.42641773893122614	0.567572	0.2890119231418961	0.62322485	0	20	0	4
KY2019:KY.Chr12.854	KY2019:KY.Chr12.854	KY2019:KY.Chr12.854	KH.C12.199	C11orf97	KH2013:KH.C12.199	nan	nan	nan	nan	nan	nan	nan	0.2277638274685522	0.22507462	0.15780064532430638	0.30183807	2	11	4	2
Usp32-KY.Chr12.855	KY2019:KY.Chr12.855	Usp32-KY.Chr12.855	KH.C12.433	USP32	KH2013:KH.C12.433_USP32/6	11:84984442:85140038:-1 ENSMUSG00000000804.14 ENSMUST00000108075.8 protein_coding protein_coding Usp32 ubiquitin specific peptidase 32 [Source:MGI Symbol;Acc:MGI:2144475]	Usp32	ENSMUSG00000000804.14	ENSMUST00000108075.8	protein_coding	protein_coding	11:84984442:85140038:-1	0.43629234110958975	0.8878264	0.3081968780344954	0.81097734	1	22	2	0
Tmem266-KY.Chr12.857	KY2019:KY.Chr12.857	Tmem266-KY.Chr12.857	KH.C12.489	TMEM266	C15ORF27	9:55326949:55438345:1 ENSMUSG00000032313.11 ENSMUST00000034862.4 protein_coding protein_coding Tmem266 transmembrane protein 266 [Source:MGI Symbol;Acc:MGI:2142980]	Tmem266	ENSMUSG00000032313.11	ENSMUST00000034862.4	protein_coding	protein_coding	9:55326949:55438345:1	0.24775070712890224	0.3728755	0.15855958166578107	0.38955528	0	32	0	1
Dnaja1-KY.Chr12.858	KY2019:KY.Chr12.858	Dnaja1-KY.Chr12.858	KH.C12.189	DNAJA1	DNAJA1/2	4:40722922:40737149:1 ENSMUSG00000028410.13 ENSMUST00000164233.7 protein_coding protein_coding Dnaja1 DnaJ heat shock protein family (Hsp40) member A1 [Source:MGI Symbol;Acc:MGI:1270129]	Dnaja1	ENSMUSG00000028410.13	ENSMUST00000164233.7	protein_coding	protein_coding	4:40722922:40737149:1	0.37039035590906644	0.45684803	0.27168165718618964	0.69000596	3	58	3	3
Ptprq-KY.Chr12.859	KY2019:KY.Chr12.859	Ptprq-KY.Chr12.859	KH.C12.377	PTPRQ	SDK1	10:107517049:107720051:-1 ENSMUSG00000035916.8 ENSMUST00000050702.8 protein_coding protein_coding Ptprq protein tyrosine phosphatase, receptor type, Q [Source:MGI Symbol;Acc:MGI:1096349]	Ptprq	ENSMUSG00000035916.8	ENSMUST00000050702.8	protein_coding	protein_coding	10:107517049:107720051:-1	0.28308248557322274	0.24230057	0.1883528177533897	0.33355087	0	23	0	1
Morc2b-KY.Chr12.861	KY2019:KY.Chr12.861	Morc2b-KY.Chr12.861	KH.C12.553	MORC2	MORC2	17:33135643:33139499:-1 ENSMUSG00000048602.9 ENSMUST00000131954.1 protein_coding protein_coding Morc2b microrchidia 2B [Source:MGI Symbol;Acc:MGI:3045293]	Morc2b	ENSMUSG00000048602.9	ENSMUST00000131954.1	protein_coding	protein_coding	17:33135643:33139499:-1	0.6184736178529098	0.80369824	0.4604973448957443	1.0927516	3	44	2	3
Ctnnd1-KY.Chr12.864	KY2019:KY.Chr12.864	Ctnnd1-KY.Chr12.864	KH.C12.51	CTNND1	ARVCF	2:84600781:84650740:-1 ENSMUSG00000034101.14 ENSMUST00000111697.8 protein_coding protein_coding Ctnnd1 catenin (cadherin associated protein), delta 1 [Source:MGI Symbol;Acc:MGI:105100]	Ctnnd1	ENSMUSG00000034101.14	ENSMUST00000111697.8	protein_coding	protein_coding	2:84600781:84650740:-1	0.9441951114545929	1.6513722	0.549961675897271	1.2437726	1	20	6	6
Kmt5a-KY.Chr12.865	KY2019:KY.Chr12.865	Kmt5a-KY.Chr12.865	KH.C12.19	KMT5A	SETD8	5:124447199:124460788:1 ENSMUSG00000049327.17 ENSMUST00000198451.1 protein_coding protein_coding Kmt5a lysine methyltransferase 5A [Source:MGI Symbol;Acc:MGI:1915206]	Kmt5a	ENSMUSG00000049327.17	ENSMUST00000198451.1	protein_coding	protein_coding	5:124447199:124460788:1	0.8532654291819182	1.3604248	0.7318307244742138	1.3306693	3	39	5	11
Wapl-KY.Chr12.870	KY2019:KY.Chr12.870	Wapl-KY.Chr12.870	KH.C12.134	WAPL	WAPAL	14:34674173:34746080:1 ENSMUSG00000041408.18 ENSMUST00000090027.10 protein_coding protein_coding Wapl WAPL cohesin release factor [Source:MGI Symbol;Acc:MGI:2675859]	Wapl	ENSMUSG00000041408.18	ENSMUST00000090027.10	protein_coding	protein_coding	14:34674173:34746080:1	0.3617232749156861	0.5928138	0.2425645850667336	0.61673784	1	20	2	6
Garem1-KY.Chr12.872	KY2019:KY.Chr12.872	Garem1-KY.Chr12.872	KH.C12.692	GAREM1	FAM59A	18:21128487:21300123:-1 ENSMUSG00000042680.8 ENSMUST00000234115.1 protein_coding protein_coding Garem1 GRB2 associated regulator of MAPK1 subtype 1 [Source:MGI Symbol;Acc:MGI:2685790]	Garem1	ENSMUSG00000042680.8	ENSMUST00000234115.1	protein_coding	protein_coding	18:21128487:21300123:-1	0.32466773902551366	0.44661027	0.19977524758744986	0.46687084	1	34	2	0
Clip2-KY.Chr12.875	KY2019:KY.Chr12.875	Clip2-KY.Chr12.875	KH.C12.486	CLIP2	CLIP2	5:134489387:134552434:-1 ENSMUSG00000063146.11 ENSMUST00000100647.6 protein_coding protein_coding Clip2 CAP-GLY domain containing linker protein 2 [Source:MGI Symbol;Acc:MGI:1313136]	Clip2	ENSMUSG00000063146.11	ENSMUST00000100647.6	protein_coding	protein_coding	5:134489387:134552434:-1	0.7616211374791124	0.97064024	0.6576042023676741	1.3965577	2	19	8	2
Prpf19-KY.Chr12.881	KY2019:KY.Chr12.881	Prpf19-KY.Chr12.881	KH.C12.603	PRPF19	PRPF19	19:10895414:10909559:1 ENSMUSG00000024735.13 ENSMUST00000179297.2 protein_coding protein_coding Prpf19 pre-mRNA processing factor 19 [Source:MGI Symbol;Acc:MGI:106247]	Prpf19	ENSMUSG00000024735.13	ENSMUST00000179297.2	protein_coding	protein_coding	19:10895414:10909559:1	0.6367929264402894	1.2490698	0.47273674534755666	1.2714835	3	15	2	3
KY2019:KY.Chr12.883	KY2019:KY.Chr12.883	KY2019:KY.Chr12.883	KH.C12.59	LIN9	CG8607	nan	nan	nan	nan	nan	nan	nan	0.42658397185135505	0.24823888	0.30750393517581476	0.5259573	5	12	1	9
Mrps24-KY.Chr12.884	KY2019:KY.Chr12.884	Mrps24-KY.Chr12.884	KH.C12.465	MRPS24	MRPS24	11:5703983:5707687:-1 ENSMUSG00000020477.10 ENSMUST00000154330.1 protein_coding protein_coding Mrps24 mitochondrial ribosomal protein S24 [Source:MGI Symbol;Acc:MGI:1928142]	Mrps24	ENSMUSG00000020477.10	ENSMUST00000154330.1	protein_coding	protein_coding	11:5703983:5707687:-1	0.5179296233336459	0.96390957	0.4028550793092553	1.086659	3	11	3	3
1700029J07Rik-KY.Chr12.887	KY2019:KY.Chr12.887	1700029J07Rik-KY.Chr12.887	KH.C12.351	C4orf47	C4ORF47	8:45953608:45975252:-1 ENSMUSG00000071103.10 ENSMUST00000098786.2 protein_coding protein_coding 1700029J07Rik RIKEN cDNA 1700029J07 gene [Source:MGI Symbol;Acc:MGI:1916729]	1700029J07Rik	ENSMUSG00000071103.10	ENSMUST00000098786.2	protein_coding	protein_coding	8:45953608:45975252:-1	0.23736727218148623	0.19191486	0.15371069926551645	0.31117815	1	9	6	0
Prss12-KY.Chr12.889	KY2019:KY.Chr12.889	Prss12-KY.Chr12.889	KH.C12.487	HGFAC	KH2013:KH.C12.487_PRSS12	3:123446913:123506597:1 ENSMUSG00000027978.9 ENSMUST00000029603.9 protein_coding protein_coding Prss12 protease, serine 12 neurotrypsin (motopsin) [Source:MGI Symbol;Acc:MGI:1100881]	Prss12	ENSMUSG00000027978.9	ENSMUST00000029603.9	protein_coding	protein_coding	3:123446913:123506597:1	0.506958396802774	0.40174428	0.35143631800498903	0.6462726	0	42	0	1
Cetn3-KY.Chr12.890	KY2019:KY.Chr12.890	Cetn3-KY.Chr12.890	KH.C12.371	CETN3	KH2013:KH.C12.371_CETN3	13:81783077:81797155:1 ENSMUSG00000021537.9 ENSMUST00000022009.9 protein_coding protein_coding Cetn3 centrin 3 [Source:MGI Symbol;Acc:MGI:1097706]	Cetn3	ENSMUSG00000021537.9	ENSMUST00000022009.9	protein_coding	protein_coding	13:81783077:81797155:1	0.4872621375422551	0.7279544	0.39941431734312594	0.97364074	5	20	4	2
Col4a2-KY.Chr12.893	KY2019:KY.Chr12.893	Col4a2-KY.Chr12.893	KH.C12.49	COL24A1	COL13A1	8:11312805:11449287:1 ENSMUSG00000031503.13 ENSMUST00000033899.13 protein_coding protein_coding Col4a2 collagen, type IV, alpha 2 [Source:MGI Symbol;Acc:MGI:88455]	Col4a2	ENSMUSG00000031503.13	ENSMUST00000033899.13	protein_coding	protein_coding	8:11312805:11449287:1	1.0042350647254086	1.9634995	0.951721896295787	2.1582408	2	16	8	2
Pura-KY.Chr12.894	KY2019:KY.Chr12.894	Pura-KY.Chr12.894	KH.C12.676	PURA	PURB	18:36281097:36292535:1 ENSMUSG00000043991.5 ENSMUST00000051301.5 protein_coding protein_coding Pura purine rich element binding protein A [Source:MGI Symbol;Acc:MGI:103079]	Pura	ENSMUSG00000043991.5	ENSMUST00000051301.5	protein_coding	protein_coding	18:36281097:36292535:1	0.47693770359197923	0.8074872	0.3267471951254395	0.7789622	6	9	1	9
Psap-KY.Chr12.895	KY2019:KY.Chr12.895	Psap-KY.Chr12.895	KH.C12.60	PSAP	SFTPB	10:60284461:60302597:1 ENSMUSG00000004207.14 ENSMUST00000165878.1 protein_coding protein_coding Psap prosaposin [Source:MGI Symbol;Acc:MGI:97783]	Psap	ENSMUSG00000004207.14	ENSMUST00000165878.1	protein_coding	protein_coding	10:60284461:60302597:1	0.6227527843373694	1.2712454	0.3957154019127254	1.1238374	6	17	1	9
KY2019:KY.Chr12.896	KY2019:KY.Chr12.896	KY2019:KY.Chr12.896	KH.C12.624	KIF20B	C10ORF96	nan	nan	nan	nan	nan	nan	nan	0.48006742247586964	0.80126226	0.34395504361639123	1.0007584	4	9	3	11
Chordc1-KY.Chr12.897	KY2019:KY.Chr12.897	Chordc1-KY.Chr12.897	KH.C12.442	CHORDC1	CHORDC1	9:18292125:18317442:1 ENSMUSG00000001774.8 ENSMUST00000001825.8 protein_coding protein_coding Chordc1 cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1 [Source:MGI Symbol;Acc:MGI:1914167]	Chordc1	ENSMUSG00000001774.8	ENSMUST00000001825.8	protein_coding	protein_coding	9:18292125:18317442:1	1.5165701420788928	1.925613	1.0502086949317684	1.8972759	6	35	7	8
Pmpcb-KY.Chr12.899	KY2019:KY.Chr12.899	Pmpcb-KY.Chr12.899	KH.C12.200	PMPCB	PMPCB	5:21737141:21757152:1 ENSMUSG00000029017.13 ENSMUST00000030882.11 protein_coding protein_coding Pmpcb peptidase (mitochondrial processing) beta [Source:MGI Symbol;Acc:MGI:1920328]	Pmpcb	ENSMUSG00000029017.13	ENSMUST00000030882.11	protein_coding	protein_coding	5:21737141:21757152:1	0.7332982661526345	1.2016597	0.5439359823952525	1.2799745	1	11	2	0
KY2019:KY.Chr12.900	KY2019:KY.Chr12.900	KY2019:KY.Chr12.900	KH.C12.174	TSGA13	TSGA13	nan	nan	nan	nan	nan	nan	nan	0.40566079698011953	0.889823	0.32753443567479745	1.07348	0	13	0	1
Rpf2-KY.Chr12.905	KY2019:KY.Chr12.905	Rpf2-KY.Chr12.905	KH.S115.10	RPF2	RPF2	10:40223427:40247036:-1 ENSMUSG00000038510.12 ENSMUST00000183309.7 protein_coding protein_coding Rpf2 ribosome production factor 2 homolog [Source:MGI Symbol;Acc:MGI:1914489]	Rpf2	ENSMUSG00000038510.12	ENSMUST00000183309.7	protein_coding	protein_coding	10:40223427:40247036:-1	1.0573162702581729	1.3901715	0.9509863495392338	1.4053806	4	29	3	5
Arl13b-KY.Chr12.906	KY2019:KY.Chr12.906	Arl13b-KY.Chr12.906	KH.S115.7	ARL13B	ARL13B	16:62793685:62847040:-1 ENSMUSG00000022911.11 ENSMUST00000089289.5 protein_coding protein_coding Arl13b ADP-ribosylation factor-like 13B [Source:MGI Symbol;Acc:MGI:1915396]	Arl13b	ENSMUSG00000022911.11	ENSMUST00000089289.5	protein_coding	protein_coding	16:62793685:62847040:-1	0.48256120966078037	1.1531637	0.3313848101066633	1.1453656	1	10	5	11
